"searched_zipcode","searched_lat","searched_lng","searched_address","searched_state","searched_city","searched_metro","is_gh","latitude","longitude","distance","loc_name","loc_number","url","address","cuisines","delivery_fee_raw","delivery_fee","delivery_time_raw","delivery_time","service_fee","phone","review_count","review_rating","RunDate","restaurant_tags","delivery_type"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","$0 with GH+","40.67882919","-73.94986725","0.04","Chun Vegetarian","1013747","https://www.grubhub.com/chun-vegetarian-582-nostrand-ave-brooklyn/1013747","582 Nostrand Ave","[""Asian"", ""Vegan"", ""Vegetarian""]","$0 delivery",0.00,"35-45",40.0,0.00,"3476278080",1691,4.57,"2022-04-25 07:01:11","[""PRICING_ELIGIBLE_FOR_STANDARD_ORDER"", ""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","SELF"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","$0 with GH+","40.67871475","-73.94987488","0.04","India House","1436488","https://www.grubhub.com/india-house-586-nostand-ave-brooklyn/1436488","586 Nostand Ave","[""Healthy"", ""Indian"", ""Lunch Specials"", ""Vegetarian""]","$0 delivery",0.00,"35-55",45.0,0.00,"7188577011",697,4.77,"2022-04-25 07:01:11","[""PRICING_ELIGIBLE_FOR_STANDARD_ORDER"", ""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","SELF"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","$0 with GH+","40.67887878","-73.94944764","0.06","Pattie Hut","2970887","https://www.grubhub.com/pattie-hut-543-nostrand-ave-brooklyn/2970887","543 Nostrand Ave.","[""Chicken"", ""Soup"", ""Wings""]","$1.99 delivery",1.99,"20-35",27.5,10.00,"7186223222",11,3.67,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","GRUBHUB"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","$0 with GH+","40.67863845","-73.9494629","0.07","Texas Chicken and Burgers","1087887","https://www.grubhub.com/texas-chicken-and-burgers-551-nostrand-ave-brooklyn/1087887","551 Nostrand Ave","[""Chicken"", ""Hamburgers"", ""Southern"", ""Wings""]","$1.99 delivery",1.99,"25-35",30.0,7.25,"3472408610",208,4.05,"2022-04-25 07:01:11","[""PRICING_ELIGIBLE_FOR_STANDARD_ORDER"", ""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","GRUBHUB"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","$0 with GH+","40.67822647","-73.94944001","0.08","Grilled & Cheesy","3221547","https://www.grubhub.com/grilled--cheesy-1306-atlantic-ave-brooklyn/3221547","1306 Atlantic Ave","[""American"", ""Sandwiches""]","$1.99 delivery",1.99,"20-40",30.0,5.25,"7188726299",0,0.00,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"", ""VIRTUAL""]","GRUBHUB"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","$0 with GH+","40.7322998","-73.98734284","0.01","Soothr Thai Noodle Bar","2127977","https://www.grubhub.com/soothr-thai-noodle-bar-204-e-13th-st-new-york/2127977","204 E 13th St","[""Asian"", ""Asian Fusion"", ""Meatballs"", ""Noodles"", ""Seafood"", ""Soup"", ""Thai""]","$0 delivery",0.00,"35-55",45.0,0.00,"2128449789",347,4.60,"2022-04-25 07:01:11","[""PRICING_ELIGIBLE_FOR_STANDARD_ORDER"", ""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","SELF"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","$0 with GH+","40.67822647","-73.94944001","0.08","Wholesome Foods (Atlantic Ave)","3231515","https://www.grubhub.com/wholesome-foods-atlantic-ave-1306-atlantic-ave-brooklyn/3231515","1306 Atlantic Ave","[""Breakfast"", ""Chicken"", ""Convenience"", ""Deli"", ""Grocery Items"", ""Hamburgers"", ""Healthy"", ""Lunch Specials"", ""Salads"", ""Sandwiches"", ""Vegetarian"", ""Wraps""]","$2.50 delivery",2.50,"65-80",72.5,0.00,"7188726299",40,4.40,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","SELF"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","$0 with GH+","40.732382","-73.988097","0.04","Hunan Bistro","320964","https://www.grubhub.com/hunan-bistro-96-3rd-ave-new-york/320964","96 3rd Ave","[""Asian"", ""Chinese"", ""Lunch Specials"", ""Noodles""]","$0 delivery",0.00,"35-50",42.5,0.00,"2123889755",6290,4.89,"2022-04-25 07:01:11","[""PRICING_ELIGIBLE_FOR_STANDARD_ORDER"", ""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","SELF"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","$0 with GH+","40.67822647","-73.94944001","0.08","Breakfast Beauties","3221821","https://www.grubhub.com/breakfast-beauties-1306-atlantic-ave-brooklyn/3221821","1306 Atlantic Ave","[""Breakfast""]","$1.99 delivery",1.99,"25-45",35.0,5.25,"7188726299",0,0.00,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"", ""VIRTUAL""]","GRUBHUB"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","$0 with GH+","40.73282241","-73.98680878","0.04","Sukiyaki Shabuすき焼き","2547946","https://www.grubhub.com/sukiyaki-shabu-210-east-14th-street-new-york/2547946","210 East 14th Street","[""Chicken"", ""Seafood"", ""Soup""]","$3.25 delivery",3.25,"45-60",52.5,0.00,"6466924120",6,3.04,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"", ""VIRTUAL""]","SELF"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","$0 with GH+","40.67822647","-73.94944001","0.08","Western Diner (Atlantic Ave)","2735312","https://www.grubhub.com/western-diner-atlantic-ave-1306-atlantic-ave-brooklyn/2735312","1306 Atlantic Ave","[""American"", ""Breakfast"", ""Diner"", ""Sandwiches""]","$2.50 delivery",2.50,"60-75",67.5,0.00,"7188726299",4,3.58,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"", ""VIRTUAL""]","SELF"
